target_name	accession	e_value	score	description
sp|P0DJ72|VKT68_CYRHA	-	4.9e-05	28.5	Kunitz-type U15-theraphotoxin-Hhn1e OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|D2Y2F7|VKTF1_CYRHA	-	5.2e-05	28.4	Kunitz-type U15-theraphotoxin-Hhn1f OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|P0DJ73|VKT74_CYRHA	-	5.2e-05	28.4	Kunitz-type U15-theraphotoxin-Hhn1f OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|D2Y2F3|VKT2_CYRHA	-	5.8e-05	28.3	Kunitz-type U15-theraphotoxin-Hhn1b OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|P0DJ64|VKT31_CYRHA	-	5.8e-05	28.3	U15-Kunitz-type theraphotoxin-Hhn1b OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|B5L5Q6|VKT5_OXYMI	-	6.3e-05	28.2	Kunitz-type serine protease inhibitor microlepidin-5 OS=Oxyuranus microlepidotus OX=111177 PE=3 SV=1
sp|P0DJ79|VKT13_CYRSC	-	6.5e-05	28.1	Kunitz-type U15-theraphotoxin-Hs1d OS=Cyriopagopus schmidti OX=29017 PE=3 SV=1
sp|M9PE65|AXO_DROME	-	6.8e-05	28.1	Axotactin OS=Drosophila melanogaster OX=7227 GN=axo PE=1 SV=1
sp|Q75S50|VKTH3_BUNCA	-	6.8e-05	28.1	Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B3 chain OS=Bungarus candidus OX=92438 PE=2 SV=1
sp|Q8AY44|VKTH7_BUNCA	-	6.8e-05	28.1	Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B2b chain OS=Bungarus candidus OX=92438 PE=2 SV=2
sp|Q9FX77|Y1664_ARATH	-	6.9e-05	28.0	B3 domain-containing protein At1g16640 OS=Arabidopsis thaliana OX=3702 GN=At1g16640 PE=1 SV=1
sp|C0LNR2|VKT_VESBI	-	6.9e-05	28.0	Kunitz-type serine protease inhibitor bicolin OS=Vespa bicolor OX=619325 PE=1 SV=1
sp|Q8AY45|VKBH2_BUNCA	-	7.1e-05	28.0	Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B2a chain OS=Bungarus candidus OX=92438 PE=2 SV=2
sp|Q9DA01|EPPI_MOUSE	-	9.7e-05	27.6	Eppin OS=Mus musculus OX=10090 GN=Eppin PE=1 SV=1
sp|P04946|KV5AM_MOUSE	-	0.0001	27.5	Ig kappa chain V-V region NQ5-89.4 OS=Mus musculus OX=10090 PE=2 SV=1
sp|P00760|TRY1_BOVIN	-	0.00011	27.4	Serine protease 1 OS=Bos taurus OX=9913 GN=PRSS1 PE=1 SV=3
sp|Q1RPT0|VKTH4_BUNMU	-	0.00013	27.2	Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B4 chain OS=Bungarus multicinctus OX=8616 PE=1 SV=1
sp|P00989|VKTH2_BUNMU	-	0.00013	27.2	Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B2 chain OS=Bungarus multicinctus OX=8616 PE=1 SV=2
sp|P0DJ81|VKT24_CYRSC	-	0.00015	27.0	Kunitz-type U15-theraphotoxin-Hs1e OS=Cyriopagopus schmidti OX=29017 PE=3 SV=1
sp|Q29461|CEL2A_BOVIN	-	0.00017	26.8	Chymotrypsin-like elastase family member 2A OS=Bos taurus OX=9913 GN=CELA2A PE=2 SV=1
sp|P01646|KV5AD_MOUSE	-	0.00022	26.4	Ig kappa chain V-V region HP 123E6 OS=Mus musculus OX=10090 PE=1 SV=1
sp|Q02388|CO7A1_HUMAN	-	0.00023	26.4	Collagen alpha-1(VII) chain OS=Homo sapiens OX=9606 GN=COL7A1 PE=1 SV=2
sp|P05208|CEL2A_MOUSE	-	0.00024	26.3	Chymotrypsin-like elastase family member 2A OS=Mus musculus OX=10090 GN=Cela2a PE=1 SV=1
sp|P08426|TRY3_RAT	-	0.00027	26.2	Cationic trypsin-3 OS=Rattus norvegicus OX=10116 GN=Try3 PE=2 SV=1
sp|P01647|KV5AE_MOUSE	-	0.00029	26.1	Ig kappa chain V-V region HP 124E1 OS=Mus musculus OX=10090 PE=1 SV=1
sp|P00774|CEL2A_RAT	-	0.00032	25.9	Chymotrypsin-like elastase family member 2A OS=Rattus norvegicus OX=10116 GN=Cela2a PE=2 SV=1
sp|Q63870|CO7A1_MOUSE	-	0.00036	25.8	Collagen alpha-1(VII) chain OS=Mus musculus OX=10090 GN=Col7a1 PE=1 SV=3
sp|P01644|KV5AB_MOUSE	-	0.00036	25.7	Ig kappa chain V-V region HP R16.7 OS=Mus musculus OX=10090 PE=1 SV=1
sp|P06871|TRY1_CANLF	-	0.00036	25.7	Serine protease 1 OS=Canis lupus familiaris OX=9615 GN=PRSS1 PE=2 SV=1
sp|P01645|KV5AC_MOUSE	-	0.00037	25.7	Ig kappa chain V-V region HP 93G7 OS=Mus musculus OX=10090 PE=1 SV=1
sp|P08217|CEL2A_HUMAN	-	0.00039	25.6	Chymotrypsin-like elastase family member 2A OS=Homo sapiens OX=9606 GN=CELA2A PE=1 SV=1
sp|P01643|KV5AA_MOUSE	-	0.00049	25.3	Ig kappa chain V-V region MOPC 173 OS=Mus musculus OX=10090 PE=1 SV=1
sp|D2Y2G2|VKTK1_CYRHA	-	0.00053	25.2	Kunitz-type U15-theraphotoxin-Hhn1k OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|P0DJ68|VKT45_CYRHA	-	0.00053	25.2	Kunitz-type U15-theraphotoxin-Hhn1k OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|Q9CAQ2|Y1754_ARATH	-	0.00055	25.1	Acetyltransferase At1g77540 OS=Arabidopsis thaliana OX=3702 GN=At1g77540 PE=1 SV=2
sp|O26781|SDO1_METTH	-	0.00056	25.1	Ribosome maturation protein SDO1 homolog OS=Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) OX=187420 GN=MTH_685 PE=1 SV=1
sp|Q2ES49|VKT2_DABRR	-	0.00064	24.9	Kunitz-type serine protease inhibitor 2 OS=Daboia russelii OX=8707 PE=2 SV=1
sp|P06721|METC_ECOLI	-	0.00073	24.7	Cystathionine beta-lyase MetC OS=Escherichia coli (strain K12) OX=83333 GN=metC PE=1 SV=1
sp|D2Y2G0|VKTI1_CYRHA	-	0.00083	24.6	Kunitz-type U15-theraphotoxin-Hhn1i OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|Q9QUK9|TRY5_MOUSE	-	0.0013	23.9	Trypsin-5 OS=Mus musculus OX=10090 GN=Try5 PE=1 SV=1
sp|B4ESA2|VKT1L_BUNMU	-	0.0014	23.9	Kunitz-type serine protease inhibitor PILP-1 OS=Bungarus multicinctus OX=8616 PE=3 SV=1
sp|B5L5Q3|IVBS5_OXYSC	-	0.0014	23.9	Scutellin-5 OS=Oxyuranus scutellatus scutellatus OX=8667 PE=3 SV=1
sp|P00761|TRYP_PIG	-	0.0016	23.6	Trypsin OS=Sus scrofa OX=9823 PE=1 SV=1
sp|P0C1X2|VKTS1_CONST	-	0.0019	23.4	Kunitz-type conkunitzin-S1 OS=Conus striatus OX=6493 PE=1 SV=1
sp|P00763|TRY2_RAT	-	0.002	23.3	Anionic trypsin-2 OS=Rattus norvegicus OX=10116 GN=Prss2 PE=1 SV=2
sp|Q6UDR6|SPIT4_HUMAN	-	0.0021	23.3	Kunitz-type protease inhibitor 4 OS=Homo sapiens OX=9606 GN=SPINT4 PE=1 SV=1
sp|Q7Z1K3|ANIS1_ANISI	-	0.0022	23.2	Major allergen Ani s 1 OS=Anisakis simplex OX=6269 PE=1 SV=1
sp|Q9N2D1|TRYT_PIG	-	0.0023	23.2	Tryptase OS=Sus scrofa OX=9823 GN=MCT7 PE=2 SV=1
sp|Q9R0T7|TRY4_MOUSE	-	0.0027	22.9	Trypsin-4 OS=Mus musculus OX=10090 GN=Try4 PE=1 SV=1
sp|P36507|MP2K2_HUMAN	-	0.0043	22.3	Dual specificity mitogen-activated protein kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP2K2 PE=1 SV=1
sp|Q1HG70|MP2K2_CANLF	-	0.0044	22.3	Dual specificity mitogen-activated protein kinase kinase 2 OS=Canis lupus familiaris OX=9615 GN=MAP2K2 PE=2 SV=1
sp|P55214|CASP7_MESAU	-	0.0048	22.1	Caspase-7 OS=Mesocricetus auratus OX=10036 GN=CASP7 PE=1 SV=1
sp|Q05116|MP2K1_XENLA	-	0.005	22.1	Dual specificity mitogen-activated protein kinase kinase 1 OS=Xenopus laevis OX=8355 GN=map2k1 PE=1 SV=2
sp|P07146|TRY2_MOUSE	-	0.0062	21.8	Anionic trypsin-2 OS=Mus musculus OX=10090 GN=Prss2 PE=1 SV=1
sp|P27616|PUR7_YEAST	-	0.0062	21.8	Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADE1 PE=1 SV=2
sp|P50342|TRYT_MERUN	-	0.0067	21.7	Mast cell tryptase OS=Meriones unguiculatus OX=10047 PE=2 SV=1
sp|P36506|MP2K2_RAT	-	0.007	21.6	Dual specificity mitogen-activated protein kinase kinase 2 OS=Rattus norvegicus OX=10116 GN=Map2k2 PE=1 SV=1
sp|Q63932|MP2K2_MOUSE	-	0.0071	21.6	Dual specificity mitogen-activated protein kinase kinase 2 OS=Mus musculus OX=10090 GN=Map2k2 PE=1 SV=2
sp|P70059|TRY2_XENLA	-	0.0075	21.5	Trypsin OS=Xenopus laevis OX=8355 PE=2 SV=1
sp|P01648|KV5AF_MOUSE	-	0.0076	21.5	Ig kappa chain V-V region HP 91A3 OS=Mus musculus OX=10090 PE=1 SV=1
sp|Q90891|MP2K2_CHICK	-	0.0081	21.4	Dual specificity mitogen-activated protein kinase kinase 2 OS=Gallus gallus OX=9031 GN=MAP2K2 PE=2 SV=1
sp|P03612|CAPSD_BPMS2	-	0.0084	21.3	Capsid protein OS=Escherichia phage MS2 OX=12022 PE=1 SV=2
sp|P07477|TRY1_HUMAN	-	0.0089	21.3	Serine protease 1 OS=Homo sapiens OX=9606 GN=PRSS1 PE=1 SV=1
sp|Q63980|MP2K1_CRIGR	-	0.009	21.3	Dual specificity mitogen-activated protein kinase kinase 1 OS=Cricetulus griseus OX=10029 GN=MAP2K1 PE=1 SV=1
sp|P29678|MP2K1_RABIT	-	0.0093	21.2	Dual specificity mitogen-activated protein kinase kinase 1 OS=Oryctolagus cuniculus OX=9986 GN=MAP2K1 PE=1 SV=2
sp|Q02750|MP2K1_HUMAN	-	0.0093	21.2	Dual specificity mitogen-activated protein kinase kinase 1 OS=Homo sapiens OX=9606 GN=MAP2K1 PE=1 SV=2
sp|Q01986|MP2K1_RAT	-	0.0093	21.2	Dual specificity mitogen-activated protein kinase kinase 1 OS=Rattus norvegicus OX=10116 GN=Map2k1 PE=1 SV=2
sp|P31938|MP2K1_MOUSE	-	0.0093	21.2	Dual specificity mitogen-activated protein kinase kinase 1 OS=Mus musculus OX=10090 GN=Map2k1 PE=1 SV=2
sp|Q9XT09|MP2K1_PANTR	-	0.0094	21.2	Dual specificity mitogen-activated protein kinase kinase 1 OS=Pan troglodytes OX=9598 GN=MAP2K1 PE=2 SV=3
sp|P69171|CAPSD_BPZR	-	0.01	21.0	Capsid protein OS=Enterobacteria phage ZR OX=332942 PE=1 SV=2
sp|P69170|CAPSD_BPR17	-	0.011	21.0	Capsid protein OS=Enterobacteria phage R17 OX=12026 PE=1 SV=1
sp|P86963|KCP2_PINMA	-	0.011	21.0	BPTI/Kunitz domain-containing protein 2 OS=Pinctada maxima OX=104660 PE=1 SV=1
sp|P03611|CAPSD_BPF2	-	0.011	21.0	Capsid protein OS=Enterobacteria phage f2 OX=12016 PE=1 SV=1
sp|P00762|TRY1_RAT	-	0.012	20.9	Serine protease 1 OS=Rattus norvegicus OX=10116 GN=Prss1 PE=1 SV=1
sp|P06872|TRY2_CANLF	-	0.012	20.8	Anionic trypsin OS=Canis lupus familiaris OX=9615 PE=2 SV=1
sp|Q90629|TRY3_CHICK	-	0.012	20.8	Trypsin II-P29 OS=Gallus gallus OX=9031 PE=2 SV=1
sp|P08218|CEL2B_HUMAN	-	0.012	20.8	Chymotrypsin-like elastase family member 2B OS=Homo sapiens OX=9606 GN=CELA2B PE=1 SV=2
sp|Q9BZJ3|TRYD_HUMAN	-	0.016	20.5	Tryptase delta OS=Homo sapiens OX=9606 GN=TPSD1 PE=1 SV=2
sp|Q8IUA0|WFDC8_HUMAN	-	0.016	20.4	WAP four-disulfide core domain protein 8 OS=Homo sapiens OX=9606 GN=WFDC8 PE=1 SV=2
sp|D9IFL3|KUN1_RHIHE	-	0.017	20.4	Anticoagulant protein rhipilin-1 OS=Rhipicephalus haemaphysaloides OX=237073 PE=2 SV=1
sp|P50124|PUR7_CYBJA	-	0.02	20.1	Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Cyberlindnera jadinii OX=4903 GN=ADE1 PE=3 SV=1
sp|P35030|TRY3_HUMAN	-	0.021	20.1	Trypsin-3 OS=Homo sapiens OX=9606 GN=PRSS3 PE=1 SV=2
sp|Q29463|TRY2_BOVIN	-	0.023	20.0	Anionic trypsin OS=Bos taurus OX=9913 PE=2 SV=1
sp|Q90627|TRY1_CHICK	-	0.026	19.8	Trypsin I-P1 OS=Gallus gallus OX=9031 PE=2 SV=1
sp|Q90628|TRY2_CHICK	-	0.026	19.7	Trypsin I-P38 OS=Gallus gallus OX=9031 PE=2 SV=1
sp|P08419|CEL2A_PIG	-	0.027	19.7	Chymotrypsin-like elastase family member 2A OS=Sus scrofa OX=9823 GN=CELA2A PE=1 SV=1
sp|P18949|METC_SALTY	-	0.033	19.5	Cystathionine beta-lyase OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=metC PE=3 SV=2
sp|P03614|CAPSD_BPFR	-	0.034	19.4	Capsid protein OS=Enterobacteria phage fr OX=12017 PE=1 SV=4
sp|Q02844|TRYB1_MOUSE	-	0.04	19.2	Tryptase OS=Mus musculus OX=10090 GN=Tpsab1 PE=2 SV=1
sp|Q9BQY6|WFDC6_HUMAN	-	0.048	18.9	WAP four-disulfide core domain protein 6 OS=Homo sapiens OX=9606 GN=WFDC6 PE=1 SV=1
sp|P20231|TRYB2_HUMAN	-	0.05	18.9	Tryptase beta-2 OS=Homo sapiens OX=9606 GN=TPSB2 PE=1 SV=3
sp|Q15661|TRYB1_HUMAN	-	0.052	18.8	Tryptase alpha/beta-1 OS=Homo sapiens OX=9606 GN=TPSAB1 PE=1 SV=1
sp|Q11101|YL15_CAEEL	-	0.07	18.4	BPTI/Kunitz inhibitor domain-containing protein C02F12.5 OS=Caenorhabditis elegans OX=6239 GN=C02F12.5 PE=1 SV=3
sp|P21845|TRYB2_MOUSE	-	0.11	17.8	Tryptase beta-2 OS=Mus musculus OX=10090 GN=Tpsb2 PE=1 SV=2
sp|P27435|TRYB1_RAT	-	0.14	17.5	Tryptase OS=Rattus norvegicus OX=10116 GN=Tpsab1 PE=1 SV=2
sp|P26262|KLKB1_MOUSE	-	0.14	17.4	Plasma kallikrein OS=Mus musculus OX=10090 GN=Klkb1 PE=1 SV=2
sp|P15944|TRYT_CANLF	-	0.15	17.4	Tryptase OS=Canis lupus familiaris OX=9615 PE=3 SV=1
sp|P00735|THRB_BOVIN	-	0.18	17.1	Prothrombin OS=Bos taurus OX=9913 GN=F2 PE=1 SV=2
sp|Q8NHM4|TRY6_HUMAN	-	0.22	16.8	Putative trypsin-6 OS=Homo sapiens OX=9606 GN=PRSS3P2 PE=5 SV=2
sp|Q9QYZ9|PRS30_MOUSE	-	0.25	16.6	Serine protease 30 OS=Mus musculus OX=10090 GN=Prss30 PE=2 SV=2
sp|Q86WS5|TMPSC_HUMAN	-	0.25	16.6	Transmembrane protease serine 12 OS=Homo sapiens OX=9606 GN=TMPRSS12 PE=1 SV=2
sp|P35031|TRY1_SALSA	-	0.29	16.4	Trypsin-1 OS=Salmo salar OX=8030 PE=1 SV=1
sp|P07478|TRY2_HUMAN	-	0.33	16.2	Trypsin-2 OS=Homo sapiens OX=9606 GN=PRSS2 PE=1 SV=1
sp|P01597|KV139_HUMAN	-	0.39	16.0	Immunoglobulin kappa variable 1-39 OS=Homo sapiens OX=9606 GN=IGKV1-39 PE=1 SV=2
sp|P04432|KVD39_HUMAN	-	0.39	16.0	Immunoglobulin kappa variable 1D-39 OS=Homo sapiens OX=9606 GN=IGKV1D-39 PE=3 SV=2
sp|P01602|KV105_HUMAN	-	0.42	15.9	Immunoglobulin kappa variable 1-5 OS=Homo sapiens OX=9606 GN=IGKV1-5 PE=1 SV=2
sp|Q9C1J4|PUR7_PICPA	-	0.48	15.7	Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Komagataella pastoris OX=4922 GN=ADE1 PE=3 SV=1
sp|P52320|PRTC_STRGR	-	0.53	15.6	Streptogrisin-C OS=Streptomyces griseus OX=1911 GN=sprC PE=3 SV=1
sp|F1NV61|CASP7_CHICK	-	0.55	15.5	Caspase-7 OS=Gallus gallus OX=9031 GN=CASP7 PE=3 SV=2
sp|P12788|TRY4_RAT	-	0.58	15.4	Trypsin-4 OS=Rattus norvegicus OX=10116 GN=Try4 PE=1 SV=1
sp|Q3SYP2|CTRC_MOUSE	-	0.61	15.4	Chymotrypsin-C OS=Mus musculus OX=10090 GN=Ctrc PE=1 SV=1
sp|Q03157|APLP1_MOUSE	-	0.64	15.3	Amyloid beta precursor like protein 1 OS=Mus musculus OX=10090 GN=Aplp1 PE=1 SV=2
sp|Q06335|APLP2_MOUSE	-	0.72	15.1	Amyloid beta precursor like protein 2 OS=Mus musculus OX=10090 GN=Aplp2 PE=1 SV=4
sp|P83748|PRS30_RAT	-	0.73	15.1	Serine protease 30 OS=Rattus norvegicus OX=10116 GN=Prss30 PE=1 SV=1
sp|Q91041|TRYX_GADMO	-	0.73	15.1	Trypsin-10 OS=Gadus morhua OX=8049 PE=2 SV=2
sp|P04430|KV116_HUMAN	-	0.74	15.1	Immunoglobulin kappa variable 1-16 OS=Homo sapiens OX=9606 GN=IGKV1-16 PE=1 SV=2
sp|Q8VIF2|PRS42_MOUSE	-	0.74	15.1	Serine protease 42 OS=Mus musculus OX=10090 GN=Prss42 PE=1 SV=1
sp|P27602|PUR7_CANMA	-	0.75	15.1	Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Candida maltosa OX=5479 GN=ADE1 PE=3 SV=2
sp|Q8MVC4|TFPIL_IXOSC	-	0.8	15.0	Penthalaris OS=Ixodes scapularis OX=6945 PE=1 SV=1
sp|P01601|KVD16_HUMAN	-	0.83	14.9	Immunoglobulin kappa variable 1D-16 OS=Homo sapiens OX=9606 GN=IGKV1D-16 PE=1 SV=2
sp|A0A0B4J2D9|KVD13_HUMAN	-	0.84	14.9	Immunoglobulin kappa variable 1D-13 OS=Homo sapiens OX=9606 GN=IGKV1D-13 PE=3 SV=1
sp|P0DP09|KV113_HUMAN	-	0.84	14.9	Immunoglobulin kappa variable 1-13 OS=Homo sapiens OX=9606 GN=IGKV1-13 PE=3 SV=1
sp|F8S114|VSPCR_CROAD	-	0.84	14.9	Thrombin-like enzyme crotalase OS=Crotalus adamanteus OX=8729 PE=1 SV=1
sp|J3S3W5|VSP1_CROAD	-	0.84	14.9	Snake venom serine proteinase 1 OS=Crotalus adamanteus OX=8729 PE=1 SV=1
sp|P51693|APLP1_HUMAN	-	0.89	14.8	Amyloid beta precursor like protein 1 OS=Homo sapiens OX=9606 GN=APLP1 PE=1 SV=3
sp|P00766|CTRA_BOVIN	-	0.91	14.8	Chymotrypsinogen A OS=Bos taurus OX=9913 PE=1 SV=1
sp|P35041|TRY7_ANOGA	-	0.96	14.7	Trypsin-7 OS=Anopheles gambiae OX=7165 GN=TRYP7 PE=2 SV=2
sp|Q96VP6|PUR7_PICAN	-	0.98	14.7	Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Pichia angusta OX=870730 GN=ADE1 PE=3 SV=1
sp|P80646|CTRB_GADMO	-	1.0	14.7	Chymotrypsin B OS=Gadus morhua OX=8049 PE=1 SV=1
sp|W6HZ31|IRSPI_IXORI	-	1.0	14.6	Kunitz-type serine protease inhibitor IrSPI OS=Ixodes ricinus OX=34613 GN=SPI PE=1 SV=2
sp|P19799|TRY1_XENLA	-	1.2	14.5	Trypsin OS=Xenopus laevis OX=8355 PE=2 SV=1
sp|P50343|TRYB2_RAT	-	1.2	14.5	Tryptase beta-2 OS=Rattus norvegicus OX=10116 GN=Tpsb2 PE=2 SV=1
sp|P01641|KV5A8_MOUSE	-	1.2	14.4	Immunoglobulin kappa variable 9-129 OS=Mus musculus OX=10090 GN=Igkv9-129 PE=4 SV=1
sp|P0C5B4|VSPGL_GLOSH	-	1.3	14.3	Thrombin-like enzyme gloshedobin OS=Gloydius shedaoensis OX=88083 PE=1 SV=2
sp|Q8UVX1|VSPG_GLOUS	-	1.4	14.3	Snake venom serine protease gussurobin OS=Gloydius ussuriensis OX=35671 PE=2 SV=1
sp|A0A075B6S4|KVD17_HUMAN	-	1.4	14.3	Immunoglobulin kappa variable 1D-17 OS=Homo sapiens OX=9606 GN=IGKV1D-17 PE=1 SV=1
sp|Q7M3E1|CTRC_BOVIN	-	1.4	14.3	Chymotrypsin-C OS=Bos taurus OX=9913 GN=CTRC PE=1 SV=2
sp|Q17004|SP24D_ANOGA	-	1.5	14.2	Serine protease SP24D OS=Anopheles gambiae OX=7165 GN=Sp24D PE=2 SV=3
sp|P01593|KVD33_HUMAN	-	1.5	14.1	Immunoglobulin kappa variable 1D-33 OS=Homo sapiens OX=9606 GN=IGKV1D-33 PE=1 SV=2
sp|P01594|KV133_HUMAN	-	1.5	14.1	Immunoglobulin kappa variable 1-33 OS=Homo sapiens OX=9606 GN=IGKV1-33 PE=1 SV=2
sp|Q8UUJ2|VSPUI_GLOUS	-	1.5	14.1	Snake venom serine protease ussurin OS=Gloydius ussuriensis OX=35671 PE=2 SV=2
sp|Q7M761|OVCH2_MOUSE	-	1.6	14.1	Ovochymase-2 OS=Mus musculus OX=10090 GN=Ovch2 PE=2 SV=1
sp|P00757|K1KB4_MOUSE	-	1.6	14.0	Kallikrein 1-related peptidase-like b4 OS=Mus musculus OX=10090 GN=Klk1b4 PE=1 SV=1
sp|A0A075B6S5|KV127_HUMAN	-	1.7	14.0	Immunoglobulin kappa variable 1-27 OS=Homo sapiens OX=9606 GN=IGKV1-27 PE=1 SV=1
sp|Q14B25|PRS48_MOUSE	-	1.7	13.9	Serine protease 48 OS=Mus musculus OX=10090 GN=Prss48 PE=2 SV=2
sp|P18964|VSPA_DABSI	-	2.0	13.7	Factor V activator RVV-V alpha OS=Daboia siamensis OX=343250 PE=1 SV=1
sp|Q91053|VSP1_GLOUS	-	2.1	13.7	Thrombin-like enzyme calobin-1 OS=Gloydius ussuriensis OX=35671 PE=1 SV=1
sp|P47796|CTRA_GADMO	-	2.1	13.7	Chymotrypsin A OS=Gadus morhua OX=8049 PE=1 SV=1
sp|Q9XSM2|TRYT_SHEEP	-	2.1	13.7	Tryptase-2 OS=Ovis aries OX=9940 PE=2 SV=1
sp|A0A075B6S9|KV137_HUMAN	-	2.1	13.6	Probable non-functional immunoglobulin kappa variable 1-37 OS=Homo sapiens OX=9606 GN=IGKV1-37 PE=1 SV=7
sp|P0DSN7|KVD37_HUMAN	-	2.1	13.6	Probable non-functional immunoglobulin kappa variable 1D-37 OS=Homo sapiens OX=9606 GN=IGKV1D-37 PE=1 SV=1
sp|P43060|PUR7_CANAX	-	2.2	13.6	Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Candida albicans OX=5476 GN=ADE1 PE=3 SV=1
sp|Q9BYE2|TMPSD_HUMAN	-	2.3	13.5	Transmembrane protease serine 13 OS=Homo sapiens OX=9606 GN=TMPRSS13 PE=1 SV=5
sp|P00734|THRB_HUMAN	-	2.4	13.4	Prothrombin OS=Homo sapiens OX=9606 GN=F2 PE=1 SV=2
sp|P97864|CASP7_MOUSE	-	2.5	13.4	Caspase-7 OS=Mus musculus OX=10090 GN=Casp7 PE=1 SV=2
sp|P08861|CEL3B_HUMAN	-	2.5	13.4	Chymotrypsin-like elastase family member 3B OS=Homo sapiens OX=9606 GN=CELA3B PE=1 SV=3
sp|Q9I8W9|VSP4_DEIAC	-	2.8	13.2	Snake venom serine protease Dav-X OS=Deinagkistrodon acutus OX=36307 PE=2 SV=1
sp|P23578|ACRO_MOUSE	-	2.9	13.2	Acrosin OS=Mus musculus OX=10090 GN=Acr PE=1 SV=1
sp|Q71QH6|VSP13_TRIST	-	3.0	13.1	Snake venom serine protease KN13 OS=Trimeresurus stejnegeri OX=39682 PE=2 SV=1
sp|Q9BQR3|PRS27_HUMAN	-	3.2	13.1	Serine protease 27 OS=Homo sapiens OX=9606 GN=PRSS27 PE=1 SV=1
sp|P04716|RBS_SYNP6	-	3.3	13.0	Ribulose bisphosphate carboxylase small subunit OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=cbbS PE=1 SV=3
sp|Q31NB2|RBS_SYNE7	-	3.3	13.0	Ribulose bisphosphate carboxylase small subunit OS=Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) OX=1140 GN=cbbS PE=1 SV=1
sp|Q9YGJ2|VSP1_GLOHA	-	3.4	13.0	Snake venom serine protease pallabin OS=Gloydius halys OX=8714 GN=JZTHR5 PE=2 SV=1
sp|P29293|ACRO_RAT	-	3.5	12.9	Acrosin OS=Rattus norvegicus OX=10116 GN=Acr PE=2 SV=2
sp|P36178|CTRB2_PENVA	-	3.5	12.9	Chymotrypsin BII OS=Penaeus vannamei OX=6689 PE=1 SV=1
sp|P10323|ACRO_HUMAN	-	3.5	12.9	Acrosin OS=Homo sapiens OX=9606 GN=ACR PE=1 SV=4
sp|Q00871|CTRB1_PENVA	-	3.6	12.9	Chymotrypsin BI OS=Penaeus vannamei OX=6689 PE=1 SV=1
sp|E0Y420|VSP3_MACLB	-	3.7	12.9	Serine protease VLSP-3 OS=Macrovipera lebetinus OX=3148341 PE=2 SV=1
sp|I4CHP3|VSPI_GLOHA	-	3.8	12.8	Thrombin-like enzyme AhV_TL-I OS=Gloydius halys OX=8714 PE=1 SV=2
sp|Q71QI1|VSP12_TRIST	-	3.8	12.8	Snake venom serine protease KN12 OS=Trimeresurus stejnegeri OX=39682 PE=2 SV=1
sp|P29787|TRY5_AEDAE	-	3.8	12.8	Trypsin 5G1 OS=Aedes aegypti OX=7159 GN=AAEL013712 PE=2 SV=2
sp|P32822|TRYB_RAT	-	3.8	12.8	Trypsin V-B OS=Rattus norvegicus OX=10116 PE=2 SV=1
sp|P32821|TRYA_RAT	-	3.8	12.8	Trypsin V-A OS=Rattus norvegicus OX=10116 PE=2 SV=1
sp|P09093|CEL3A_HUMAN	-	3.9	12.8	Chymotrypsin-like elastase family member 3A OS=Homo sapiens OX=9606 GN=CELA3A PE=1 SV=3
sp|P15945|K1KB5_MOUSE	-	4.0	12.8	Kallikrein 1-related peptidase b5 OS=Mus musculus OX=10090 GN=Klk1b5 PE=2 SV=1
sp|Q2PQJ3|VSP1_BOTJR	-	4.0	12.8	Thrombin-like enzyme BjussuSP-1 OS=Bothrops jararacussu OX=8726 PE=1 SV=1
sp|Q59DY5|LEDL3_DROME	-	4.1	12.7	C-type lectin 37Db OS=Drosophila melanogaster OX=7227 GN=lectin-37Db PE=2 SV=1
